observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[39.317, -53.216, 117.511, 117.273, -117.226, 177.966, 1.0, 1.0, 0.0]","[-109.16, 7.79, 102.9, 73.85, -81.65, 181.43, 1.0, 1.0, 0.0]",1.83333333333334,55,0,55,0
"[39.317, -53.216, 117.511, 117.273, -117.226, 177.966, 1.0, 1.0, 0.0]","[-109.16, 7.79, 102.9, 73.85, -81.65, 181.43, 1.0, 1.0, 0.0]",1.83333333333334,55,0,55,0
"[82.248, -6.633, 107.00, 71.929, -7.982, 172.187, 1.0, 1.0, 0.0]","[-108.73, 7.56, 102.93, 74.1, -81.66, 181.44, 1.0, 1.0, 0.0]",1.86666666666667,56,0,56,0
"[47.223, 49.24, 42.472, 102.485, 37.748, 260.28, 1.0, 1.0, 0.0]","[-108.73, 7.56, 102.93, 74.1, -81.66, 181.44, 1.0, 1.0, 0.0]",1.86666666666667,56,0,56,0
"[43.767, 46.006, 47.335, 102.078, 34.405, 261.805, 1.0, 1.0, 0.0]","[-107.98, 7.15, 102.98, 74.55, -81.69, 181.46, 1.0, 1.0, 0.0]",1.9,57,0,57,0
"[36.989, 41.220, 53.651, 103.873, 27.923, 265.704, 1.0, 1.0, 0.0]","[-107.98, 7.15, 102.98, 74.55, -81.69, 181.46, 1.0, 1.0, 0.0]",1.9,57,0,57,0
"[45.098, 19.059, 79.905, 96.045, 35.676, 261.303, 1.0, 1.0, 0.0]","[-107.98, 7.15, 102.98, 74.55, -81.69, 181.46, 1.0, 1.0, 0.0]",1.9,57,0,57,0
"[65.591, 30.528, 72.696, 117.437, 35.794, 277.467, 1.0, 1.0, 0.0]","[-103.39, 4.67, 103.29, 77.27, -81.84, 181.58, 1.0, 1.0, 0.0]",2.03333333333334,61,0,61,0
"[85.970, 2.031, 117.931, 117.715, 4.181, 237.651, 1.0, 1.0, 0.0]","[-101.72, 3.77, 103.4, 78.26, -81.89, 181.62, 1.0, 1.0, 0.0]",2.06666666666667,62,0,62,0
"[85.970, 2.031, 117.931, 117.715, 4.181, 237.651, 1.0, 1.0, 0.0]","[-100.04, 2.87, 103.51, 79.26, -81.94, 181.66, 1.0, 1.0, 0.0]",2.1,63,0,63,0
"[85.970, 2.031, 117.931, 117.715, 4.181, 237.651, 1.0, 1.0, 0.0]","[-97.83, 1.68, 103.66, 80.56, -82.02, 181.72, 1.0, 1.0, 0.0]",2.13333333333334,64,0,64,0
"[85.970, 2.031, 117.931, 117.715, 4.181, 237.651, 1.0, 1.0, 0.0]","[-96.16, 0.78, 103.78, 81.55, -82.07, 181.76, 1.0, 1.0, 0.0]",2.16666666666667,65,0,65,0
